algorithm,run_id,seed,best_fitness,runtime_seconds
GreyWolfOptimizer,0,42,122478.6757631053,1.141188899986446
GreyWolfOptimizer,1,43,121171.79632090621,1.2548402999527752
GreyWolfOptimizer,2,44,120682.81738869184,1.1464068000204861
GreyWolfOptimizer,3,45,120266.79400350136,1.2014818999450654
GreyWolfOptimizer,4,46,119076.50604673455,1.1989825998898596
GreyWolfOptimizer,5,47,120322.15298822854,1.1423566000303254
GreyWolfOptimizer,6,48,119162.1668149999,1.2193588999798521
GreyWolfOptimizer,7,49,118893.05240616685,1.1394292999757454
GreyWolfOptimizer,8,50,121627.76096298936,1.1434299000538886
GreyWolfOptimizer,9,51,120536.17723680737,1.1604418000206351
GreyWolfOptimizer,10,52,119885.35641352377,1.173881300026551
GreyWolfOptimizer,11,53,118717.64941147315,1.1743208999978378
GreyWolfOptimizer,12,54,118059.36626300965,1.2681993000442162
GreyWolfOptimizer,13,55,119383.86624317076,1.1568556000711396
GreyWolfOptimizer,14,56,119657.61845350495,1.1980526000261307
GreyWolfOptimizer,15,57,120237.17857973697,1.138919800054282
GreyWolfOptimizer,16,58,119263.57245909351,1.2048873000312597
GreyWolfOptimizer,17,59,120349.77830771722,1.1863979999907315
GreyWolfOptimizer,18,60,118202.18646203681,1.1506361999781802
GreyWolfOptimizer,19,61,120752.47349640298,1.2319987999508157
GreyWolfOptimizer,20,62,121278.95086057916,1.249063599971123
GreyWolfOptimizer,21,63,120470.71349810707,1.1853057999396697
GreyWolfOptimizer,22,64,119892.15989553877,1.162619600072503
GreyWolfOptimizer,23,65,120130.34787044514,1.2017969000153244
GreyWolfOptimizer,24,66,118635.65626253173,1.3727092000190169
GreyWolfOptimizer,25,67,122858.5748533883,1.1930752999614924
GreyWolfOptimizer,26,68,121264.48517670366,1.2172423000447452
GreyWolfOptimizer,27,69,119947.10248868962,1.1814714999636635
GreyWolfOptimizer,28,70,121078.07186281077,1.211615499923937
GreyWolfOptimizer,29,71,118444.82513068718,1.1665721000172198
ParticleSwarmOptimizer,0,42,195780.0,0.6073294000234455
ParticleSwarmOptimizer,1,43,203160.0,0.6661195999477059
ParticleSwarmOptimizer,2,44,169320.0,0.6277157999575138
ParticleSwarmOptimizer,3,45,204240.0,0.6208717999979854
ParticleSwarmOptimizer,4,46,219720.0,0.670254800003022
ParticleSwarmOptimizer,5,47,236460.0,0.5993968000402674
ParticleSwarmOptimizer,6,48,249780.0,0.6330761999124661
ParticleSwarmOptimizer,7,49,181380.0,0.6031479999655858
ParticleSwarmOptimizer,8,50,260760.0,0.5972869000397623
ParticleSwarmOptimizer,9,51,210000.0,0.6496978999348357
ParticleSwarmOptimizer,10,52,227100.0,0.6225255000172183
ParticleSwarmOptimizer,11,53,201540.0,0.637213799986057
ParticleSwarmOptimizer,12,54,194700.0,0.6275576000334695
ParticleSwarmOptimizer,13,55,198300.0,0.6069164000218734
ParticleSwarmOptimizer,14,56,271560.0,0.633071199990809
ParticleSwarmOptimizer,15,57,204060.0,0.6133102999301627
ParticleSwarmOptimizer,16,58,231960.0,0.6263241999549791
ParticleSwarmOptimizer,17,59,248700.0,0.6298682000488043
ParticleSwarmOptimizer,18,60,278760.0,0.8344287000363693
ParticleSwarmOptimizer,19,61,181380.0,0.6201365999877453
ParticleSwarmOptimizer,20,62,222240.0,0.6326473000226542
ParticleSwarmOptimizer,21,63,212700.0,0.62331609998364
ParticleSwarmOptimizer,22,64,212880.0,0.6492784000001848
ParticleSwarmOptimizer,23,65,220980.0,0.6241403999738395
ParticleSwarmOptimizer,24,66,192180.0,0.6130027999170125
ParticleSwarmOptimizer,25,67,236820.0,0.6504385999869555
ParticleSwarmOptimizer,26,68,242760.0,0.6322094000643119
ParticleSwarmOptimizer,27,69,187320.0,0.6156984999543056
ParticleSwarmOptimizer,28,70,255900.0,0.6326190000399947
ParticleSwarmOptimizer,29,71,228360.0,0.7307732000481337
